user_id,track_id,rating
50,5493,1
50,3553,2
50,2035,5
50,1800,5
50,5245,1
50,9581,4
50,6825,3
50,3223,1
50,9010,3
50,4422,1
51,1486,3
51,5930,2
51,8948,2
51,5969,5
51,5618,4
51,4909,4
51,6252,5
51,1122,3
51,9914,1
51,4711,1
52,2320,5
52,8526,4
52,6291,2
52,6523,1
52,7008,4
52,5496,5
52,3790,5
52,7475,2
52,2308,3
52,4045,1
53,838,4
53,8486,5
53,73,3
53,9730,4
53,9963,3
53,8565,3
53,783,4
53,3133,3
53,2333,4
53,9852,4
54,7668,5
54,8453,2
54,9352,5
54,1076,1
54,5122,1
54,1947,3
54,3200,4
54,5852,4
54,778,2
54,1151,5
55,8864,4
55,4868,2
55,5143,4
55,796,2
55,5323,2
55,8614,3
55,3054,3
55,5739,4
55,3828,3
55,9608,1
56,5943,4
56,2142,1
56,4386,3
56,234,1
56,9653,5
56,8010,1
56,3019,2
56,4683,2
56,2806,5
56,200,5
57,6161,1
57,6525,4
57,1807,2
57,3109,4
57,6372,1
57,2279,4
57,1291,2
57,9341,2
57,8495,2
57,3757,3
58,6253,2
58,1072,5
58,4189,1
58,5500,5
58,8335,3
58,8673,5
58,4947,3
58,8020,3
58,8613,1
58,6885,1
59,2369,4
59,4267,1
59,2467,1
59,9176,2
59,8627,4
59,2004,3
59,397,2
59,9571,1
59,4826,2
59,7620,4
60,4785,4
60,3175,5
60,4228,5
60,182,3
60,2800,3
60,734,4
60,1337,2
60,1352,2
60,8239,3
60,870,3
61,3510,5
61,4770,1
61,1922,1
61,5995,2
61,5858,1
61,2472,4
61,3436,1
61,9629,2
61,7488,2
61,9664,4
62,1613,2
62,3409,2
62,3045,2
62,4534,3
62,6047,3
62,5840,1
62,3636,1
62,8942,4
62,9361,4
62,6724,5
63,2175,2
63,4032,2
63,2360,2
63,5874,5
63,1204,4
63,5761,2
63,4351,4
63,3959,2
63,2088,4
63,1409,1
64,2628,3
64,116,2
64,2657,1
64,309,2
64,4753,3
64,789,4
64,1169,5
64,5039,1
64,7204,5
64,8105,4
65,1415,1
65,7928,3
65,9405,1
65,1361,3
65,6330,1
65,7683,1
65,7869,3
65,700,3
65,2596,5
65,4635,2
66,6231,4
66,8326,3
66,2644,5
66,8154,3
66,3746,5
66,7932,1
66,6965,2
66,3514,5
66,5418,5
66,6643,4
67,260,1
67,5473,4
67,9817,1
67,8055,1
67,3061,3
67,5127,3
67,1347,5
